U:U	30	H_qe/H_i	cis-W/W	2
G:U	30	H/H_i	cis-W/S	2
G:U	30	H/H	cis-W/W	4
G:C	30	H/H	cis-W/W	4
G:C	30	H_e/H_e	cis-W/W	2
C:C	30	H_qe/H_qe	cis-W/W	2
A:U	30	H/H_qe	NA	1
A:A	30	H_qe/H	trans-H/H	2
A:A	30	H_qe/H_i	NA	2
U:A	29	H_i/H	cis-W/H	3
G:A	29	H/H	trans-S/H	2
C:U	29	H/H	trans-H/S	2
A:U	29	H/H	NA	1
A:G	29	H_qe/H_qe	trans-H/S	2
A:G	29	H/H	trans-H/S	2
A:G	29	H/H_qe	NA	2
U:C	28	H_i/H	NA	2
U:A	28	H_i/H	trans-W/H	2
U:A	28	H/H_i	trans-W/S	2
C:A	28	H/H	trans-S/H	2
C:A	28	H/H	cis-W/W	2
A:U	28	H_qe/H	cis-W/W	1
A:A	28	H_i/H_qe	cis-W/S	2
A:A	28	H_i/H	NA	2
U:G	27	H_qe/H_qe	cis-W/W	3
C:C	27	H/H_qe	cis-W/W	2
A:U	27	H_qe/H	NA	2
A:U	27	H_i/H	cis-W/W	1
A:G	27	H_i/H	trans-H/S	3
A:A	27	H/H	NA	3
U:G	26	H/H	cis-S/W	2
A:G	26	H_qe/H	cis-W/W	2
U:G	25	H_qe/H_i	cis-W/W	3
U:A	25	H_e/H_ie	cis-W/H	2
A:A	25	H/H_qe	trans-H/S	2
G:A	24	H_qe/H_qe	trans-S/H	2
G:A	24	H_ie/H_ie	trans-S/H	3
G:A	24	H/H	cis-W/W	2
C:A	24	H/H	cis-W/W	1
A:U	24	H_qe/H_i	NA	1
A:U	24	H/H_qe	trans-H/W	3
U:A	23	H/H_qe	trans-W/H	2
U:A	23	H_e/H_ie	trans-W/W	2
G:A	23	H/H	cis-W/W	1
A:G	23	H_i/H	NA	1
A:G	23	H/H	cis-W/W	2
G:A	22	H_qe/H	trans-H/H	2
C:A	22	H_i/H_qe	trans-W/H	3
A:U	22	H_e/H_ie	trans-W/W	2
U:G	21	H_qe/H	trans-H/S	1
