   2204,G:U,H/H,cis-W/W,2
   2164,U:G,H/H,cis-W/W,2
   1200,G:U,H/H,cis-W/W,3
   1065,U:G,H/H,cis-W/W,3
    865,C:G,H/H,cis-W/W,2
    795,G:C,H/H,cis-W/W,2
    534,U:G,H_qe/H,cis-W/W,2
    501,U:U,H/H,cis-W/W,2
    456,G:U,H/H_qe,cis-W/W,2
    362,G:U,H_qe/H,cis-W/W,2
    315,U:G,H_e/H_e,cis-W/W,2
    302,U:G,H/H_qe,cis-W/W,2
    293,U:A,H/H,cis-W/W,1
    290,A:U,H/H,cis-W/W,1
    285,C:G,H/H,cis-W/W,3
    261,G:C,H/H,cis-W/W,3
    229,A:G,H/H_qe,cis-W/W,2
    205,G:U,H_qe/H,cis-W/W,3
    202,G:C,H/H,cis-W/W,1
    188,G:U,H/H_qe,cis-W/W,3
    186,U:G,H/H_qe,cis-W/W,3
    185,G:C,H/H,cis-W/W,4
    185,C:G,H/H,cis-W/W,4
    179,C:C,H/H,cis-W/W,2
    176,C:G,H/H,cis-W/W,1
    170,C:G,H/H_qe,cis-W/W,2
    164,U:U,H/H_qe,cis-W/W,2
    163,C:C,H/H,cis-W/W,1
    149,C:G,H_e/H_e,cis-W/W,2
    139,U:G,H_qe/H_qe,cis-W/W,2
    135,U:G,H/H,cis-W/W,1
    128,A:G,H/H,cis-W/W,2
    124,U:G,H_e/H_e,cis-W/W,3
    122,G:C,H_qe/H,cis-W/W,2
    117,G:C,H/H_qe,cis-W/W,2
    115,U:G,H_qe/H,cis-W/W,3
    112,G:U,H/H,cis-W/W,1
    112,A:G,H_qe/H,cis-W/W,2
    107,U:G,H/H,cis-W/W,4
    102,C:U,H/H,cis-W/W,1
     99,U:G,H_qe/H_qe,cis-W/W,3
     99,G:U,H/H,cis-W/W,4
     98,C:G,H_qe/H,cis-W/W,2
     92,A:C,H/H_qe,cis-W/W,1
     90,G:U,H_qe/H_qe,cis-W/W,2
     90,A:A,H/H,cis-W/W,1
     88,G:C,H_e/H_e,cis-W/W,2
     86,G:U,H_qe/H_qe,cis-W/W,3
     86,C:G,H_qe/H_qe,cis-W/W,2
     85,U:C,H/H,cis-W/W,1
     84,A:C,H/H,cis-W/W,1
     83,A:U,H/H_qe,cis-W/W,1
     83,A:C,H/H,cis-W/W,2
     77,A:U,H/H,cis-W/W,2
     76,U:U,H/H,cis-W/W,3
     76,G:C,H_qe/H_qe,cis-W/W,2
     75,G:A,H/H,cis-W/W,2
     72,U:U,H_e/H_e,cis-W/W,2
     70,A:G,H_qe/H_qe,cis-W/W,2
     68,U:U,H_qe/H,cis-W/W,2
     64,A:G,H/H_qe,cis-W/W,3
     63,G:C,H_qe/H,cis-W/W,1
     62,U:A,H/H,cis-W/W,2
     62,G:A,H_qe/H,cis-W/W,2
     62,A:G,H/H,cis-W/W,3
     61,U:U,H/H,cis-W/W,1
     57,A:U,H_qe/H,cis-W/W,1
     56,U:A,H/H_qe,cis-W/W,1
     54,C:A,H/H,cis-W/W,2
     53,G:C,H_e/H_e,cis-W/W,4
     52,G:A,H/H_qe,cis-W/W,3
     51,C:C,H_qe/H_qe,cis-W/W,1
     49,U:A,H_e/H_e,cis-W/W,1
     48,U:U,H_qe/H_qe,cis-W/W,2
     47,G:A,H_qe/H_qe,cis-W/W,2
     47,G:A,H/H_qe,cis-W/W,2
     47,C:A,H_e/H_e,cis-W/W,2
     46,C:G,H_e/H_e,cis-W/W,1
     44,C:G,H/H_qe,cis-W/W,4
     43,A:A,H_qe/H_qe,cis-W/W,1
     42,G:A,H/H,cis-W/W,1
     41,G:C,H/H_qe,cis-W/W,1
     41,G:C,H_e/H_e,cis-W/W,1
     41,C:G,H/H_qe,cis-W/W,3
     40,G:C,H_qe/H_qe,cis-W/W,1
     38,G:C,H_qe/H,cis-W/W,3
     37,U:U,H_qe/H_i,cis-W/W,2
     37,G:A,H_qe/H_qe,cis-W/W,3
     36,G:G,H_qe/H,cis-W/W,3
     34,G:U,H/H_qe,cis-W/W,1
     34,G:C,H/H_qe,cis-W/W,4
     34,G:A,H_qe/H,cis-W/W,3
     34,C:C,H_qe/H_qe,cis-W/W,2
     34,C:C,H/H_qe,cis-W/W,2
     33,C:G,H_e/H_e,cis-W/W,3
     32,C:C,H_e/H_e,cis-W/W,2
     32,C:A,H/H,cis-W/W,1
     30,U:G,H_qe/H_i,cis-W/W,3
     30,U:G,H_e/H_e,cis-W/W,1
