WC WC WC	34734	65.3952
non-WC non-WC non-WC	14497	27.2941
non-WC NA non-WC	2158	4.06296
WC NA WC	878	1.65305
WC WC non-WC	697	1.31227
WC NA non-WC	77	0.144971
non-WC WC non-WC	40	0.0753097
WC non-WC non-WC	33	0.0621305
